"Gene1","Gene2","Weight"
"TRAT1","CD7",0.254249623293422
"GZMH","CD7",0.251971662835963
"P2RY10","CD7",0.250124960795594
"XCL2","CD7",0.254518681109476
"EOMES","CD7",0.252828877431143
"ICOS","CD7",0.264197553023422
"ZAP70","CD7",0.250721084471236
"FCN3","ENSG00000226363",0.316437880388606
"COL17A1","ENSG00000226363",0.260242970820261
"LCN6","ENSG00000226363",0.277599707695078
"ENSG00000204003","ENSG00000226363",0.327210322790938
"SEMA3G","ENSG00000226363",0.303028176539525
"TRBV20-1","CD8B",0.25005087994951
"TRAT1","CD8B",0.293948629130474
"IFNG","CD8B",0.287185013409095
"FASLG","CD8B",0.260666512636146
"TRGC1","CD8B",0.260580815226842
"UBASH3A","CD8B",0.263661703823072
"TRAV8-3","CD8B",0.250546217977313
"GZMH","CD8B",0.308025276608867
"P2RY10","CD8B",0.299500980133601
"XCL2","CD8B",0.304031162537376
"LINC00892","CD8B",0.259552476237958
"XCL1","CD8B",0.265937351049885
"EOMES","CD8B",0.302305959064724
"ICOS","CD8B",0.316122690432371
"ZAP70","CD8B",0.303417819171157
"CXCR3","CD8B",0.286291206615082
"ENSG00000235576","CD8B",0.293247241302901
"CD40LG","CD8B",0.258267873409847
"ENSG00000273650","TLL1",0.265123599449599
"LINC01915","TLL1",0.274809645173811
"ENSG00000277489","TLL1",0.286787696497517
"TUBAL3","TLL1",0.31252933577098
"ENSG00000205018","TLL1",0.275276889489432
"LCN10","TLL1",0.293942310015807
"LINC01117","TLL1",0.257702478330563
"EFCC1","TLL1",0.305259433037561
"HOXD1","TLL1",0.275771546173957
"GPR182","TLL1",0.27606797875857
"LYPD2","TLL1",0.251106612893626
"LOC441179","TLL1",0.256507340851062
"ENSG00000227160","TLL1",0.275841827497984
"GDF3","TLL1",0.264375648844745
"MYCN","TLL1",0.300535624290844
"SLC6A3","TLL1",0.254561560082253
"MYLK-AS2","TLL1",0.259378436295733
"ENSG00000258691","TLL1",0.259685094522174
"AVPR2","TLL1",0.309290400369323
"ENSG00000249772","TLL1",0.274653708232655
"ENSG00000214578","TLL1",0.28358730092998
"N4BP3","TLL1",0.277508312086288
"ENSG00000259124","TLL1",0.260490456672882
"FCN3","TLL1",0.329214078961279
"ENSG00000226252","TLL1",0.257532180018032
"DHH","TLL1",0.26643016584792
"TPO","TLL1",0.284051873633379
"TFF3","TLL1",0.321296317106223
"COL17A1","TLL1",0.305331121371786
"LCN6","TLL1",0.330611045336059
"ENSG00000204003","TLL1",0.3612480670279
"SEMA3G","TLL1",0.328067558810685
"HAGLR","TLL1",0.305747530197937
"HOXD3","TLL1",0.251387554705195
"ADAMTS18","TLL1",0.293656925145045
"ENSG00000226363","TLL1",0.276988225722896
"ENSG00000273650","ENSG00000226197",0.256512548900801
"LINC01915","ENSG00000226197",0.294036592611261
"HOXD9","ENSG00000226197",0.258994049603327
"ENSG00000277489","ENSG00000226197",0.2918992813033
"TUBAL3","ENSG00000226197",0.31453252820431
"ENSG00000205018","ENSG00000226197",0.293094835276829
"LCN10","ENSG00000226197",0.295594297124176
"LINC01117","ENSG00000226197",0.271826361386926
"EFCC1","ENSG00000226197",0.320026118832852
"HOXD1","ENSG00000226197",0.297610227384578
"GPR182","ENSG00000226197",0.274071972960022
"LOC441179","ENSG00000226197",0.282995305624174
"ENSG00000227160","ENSG00000226197",0.290214030356652
"GDF3","ENSG00000226197",0.259656861961062
"MYCN","ENSG00000226197",0.291178784551561
"SLC6A3","ENSG00000226197",0.26152137637881
"MYLK-AS2","ENSG00000226197",0.281328135021361
"AVPR2","ENSG00000226197",0.313635576245946
"ENSG00000249772","ENSG00000226197",0.283713086290672
"ENSG00000214578","ENSG00000226197",0.277197175397917
"N4BP3","ENSG00000226197",0.257650632494231
"FCN3","ENSG00000226197",0.332575356304855
"DHH","ENSG00000226197",0.269050931979313
"TPO","ENSG00000226197",0.266977754916911
"TFF3","ENSG00000226197",0.306470616322284
"COL17A1","ENSG00000226197",0.309525893098848
"LCN6","ENSG00000226197",0.338428013577162
"ENSG00000204003","ENSG00000226197",0.36244721482825
"SEMA3G","ENSG00000226197",0.328646568706571
"HAGLR","ENSG00000226197",0.313696017599129
"HOXD3","ENSG00000226197",0.269779521350306
"ADAMTS18","ENSG00000226197",0.297142082427977
"ENSG00000226363","ENSG00000226197",0.259260344313842
"TLL1","ENSG00000226197",0.321147147864227
