Regulator	Target	MI
RN7SL827P	ENSG00000278526	1.3792922544726756
RN7SL827P	RPL36P10	1.3792922544726756
RN7SL827P	ENSG00000282968	1.3792922544726756
RN7SL827P	NUTM2B	1.3792922544726756
ENSG00000259437	ENSG00000260418	1.2293362159076602
ENSG00000259437	ENSG00000260613	1.2293362159076602
ZNF534	LOC101929759	1.2293362159076602
ZNF534	ENSG00000248125	1.2293362159076602
ENSG00000272836	ENSG00000272114	1.2293362159076602
ENSG00000260613	PROK2	1.2293362159076602
ENSG00000260613	ERCC-00138	1.2293362159076602
ENSG00000267366	ENSG00000213046	1.3792922544726756
ENSG00000267366	FCRL3	1.3792922544726756
ENSG00000267366	ENSG00000249834	1.3792922544726756
ENSG00000267366	ENSG00000228551	1.3792922544726756
ENSG00000267366	ENSG00000271382	1.3792922544726756
ENSG00000267366	GRM5	1.3792922544726756
ENSG00000267366	ENSG00000250620	1.3792922544726756
ENSG00000267366	ENSG00000274363	1.3792922544726756
ENSG00000267366	RN7SL233P	1.3792922544726756
ENSG00000267366	ENSG00000257539	1.3792922544726756
ENSG00000267366	KRTAP5-11	1.3792922544726756
ENSG00000267366	LINC02899	1.3792922544726756
ENSG00000267366	RPS5P2	1.3792922544726756
ENSG00000267366	ENSG00000279463	1.3792922544726756
ENSG00000267366	PLCH2	1.3792922544726756
ENSG00000267366	ENSG00000272235	1.3792922544726756
ENSG00000267366	PRIMA1	1.3792922544726756
ENSG00000265185	ENSG00000136315	1.2293362159076602
RN7SL187P	TNN	1.2293362159076602
ENSG00000224888	RN7SKP282	1.2293362159076602
MIR4420	AGAP12P	1.2293362159076602
ENSG00000279474	IGHV4-34	1.2293362159076602
ENSG00000279474	ENSG00000232654	1.2293362159076602
CLEC1B	CLEC12B	1.3792922544726756
CLEC1B	MIR3682	1.2293362159076602
ENSG00000232022	LOC105375743	1.2293362159076602
ENSG00000232022	ENSG00000241537	1.3792922544726756
ENSG00000232022	ENSG00000272386	1.2293362159076602
ENSG00000232022	KARS1P1	1.3792922544726756
ENSG00000232022	ENSG00000223414	1.3792922544726756
ENSG00000232022	ENSG00000235347	1.3792922544726756
ENSG00000232022	ENSG00000249258	1.3792922544726756
ENSG00000279236	C19orf81	1.2293362159076602
ENSG00000279236	MAL	1.2293362159076602
CR2	GATA3	1.2293362159076602
TRPC5	ENSG00000261266	1.2293362159076602
TRPC5	ENSG00000237576	1.2293362159076602
TRPC5	LOC100996333	1.3792922544726756
TRPC5	CT69	1.2293362159076602
TRPC5	LOC102723604	1.2293362159076602
TRPC5	ENSG00000250777	1.2293362159076602
TRPC5	ENSG00000280205	1.3792922544726756
