gene	module	module_membership	kWithin	kTotal	kWithin_quantile	is_hub
HMOX2	blue	0.880407632195216	96.8047443895842	141.594575911618	0.797180043383948	TRUE
CKMT2-AS1	blue	0.829636920544472	96.4676280351928	122.600863463023	0.796095444685466	TRUE
CD5	blue	0.867323833442612	96.3927812055244	109.650805453238	0.795010845986985	TRUE
SEC14L2	blue	0.851711103326162	95.4533137941413	155.892948444154	0.792841648590022	TRUE
ADAMTS17	blue	0.803423257025197	95.3345783779869	116.062512000055	0.79175704989154	TRUE
SDR42E2	blue	0.721899137393964	94.9821263434451	118.500621843163	0.790672451193059	TRUE
TBC1D19	blue	0.868305770838795	94.7399363332809	184.952577528304	0.789587852494577	TRUE
CHMP7	blue	0.850949338430739	94.3414535614237	135.664610474093	0.788503253796095	TRUE
PLCL1	blue	0.794629344167739	94.2824277023015	110.751265019686	0.787418655097614	TRUE
CD226	blue	0.85788268904117	94.2034404841453	112.067696713515	0.786334056399132	TRUE
NPAT	blue	0.897603823569967	94.1417121542981	188.666669297477	0.785249457700651	TRUE
SLC26A11	blue	0.881022620675022	93.805548103234	130.527070125284	0.784164859002169	TRUE
MIATNB	blue	0.876670746797008	93.6185384434994	169.06002260329	0.783080260303688	TRUE
EPHX2	blue	0.801847957265976	93.4051187402973	127.179719512338	0.781995661605206	TRUE
AFAP1	blue	0.853432591692382	93.2225984358045	147.127844890091	0.780911062906725	TRUE
DNAJC27	blue	0.824763817342371	93.1798902374962	162.218702487057	0.779826464208243	TRUE
THOC3	blue	0.846554086702299	93.1577292024482	126.778290264754	0.778741865509761	TRUE
TECR	blue	0.859062686504172	92.7982363596558	145.348916772947	0.77765726681128	TRUE
BRIX1	blue	0.891803818756033	92.7455766748403	152.952183403057	0.776572668112798	TRUE
RRM1	blue	0.878298124701473	92.7187032708009	118.797306282346	0.775488069414317	TRUE
STAT4	blue	0.837628289525802	92.3931704132473	120.097274240818	0.774403470715835	TRUE
