"id","module"
"FAM133B","turquoise"
"PDK4","blue"
"SLC25A13","blue"
"PILRA","blue"
"SH2B2","blue"
"PMPCB","turquoise"
"KMT2E","turquoise"
"NAMPT","blue"
"AC005050.3","blue"
"DOCK4","blue"
"TFEC","blue"
"CPED1","blue"
"IRF5","blue"
"LUC7L2","turquoise"
"TBXAS1","blue"
"MGAM","blue"
"ZNF467","blue"
"TMEM176B","blue"
"TMEM176A","blue"
"SMARCD3","blue"
"RBM33","turquoise"
"ESYT2","turquoise"
"VIPR2","brown"
"MYOM2","brown"
"BLK","yellow"
"CTSB","blue"
"MSR1","blue"
"ASAH1","blue"
"ATP6V1B2","blue"
"TNFRSF10C","blue"
"ADAM28","yellow"
"AC120193.1","yellow"
"DOCK5","blue"
"AC021678.2","yellow"
"NRG1","blue"
"ZNF703","blue"
"RAB11FIP1","blue"
"ADAM9","blue"
"CEBPD","blue"
"LYN","blue"
"LINC00968","blue"
"UBXN2B","blue"
"ZC2HC1A","blue"
"IL7","blue"
"AC083837.1","yellow"
"RIPK2","blue"
"AC117834.1","blue"
"TRIQK","blue"
"SDC2","blue"
"NIPAL2","blue"
"STK3","blue"
"SLC25A32","turquoise"
"ANGPT1","blue"
"MTSS1","blue"
"TRIB1","blue"
"CCDC26","blue"
"DENND3","blue"
"AC040970.1","blue"
"GSDMD","turquoise"
"NAPRT","blue"
"KIAA2026","turquoise"
"BNC2","brown"
"CNTLN","blue"
"MOB3B","blue"
"C9orf72","blue"
"LINGO2","brown"
"FAM214B","blue"
"RUSC2","blue"
"GLIPR2","blue"
"RNF38","turquoise"
"PAX5","yellow"
"PIP5K1B","blue"
"ZFAND5","blue"
"ALDH1A1","blue"
"CEP78","brown"
"DAPK1","blue"
"CTSL","blue"
"S1PR3","blue"
"SYK","blue"
"NFIL3","blue"
"NOL8","turquoise"
"FBP1","blue"
"TBC1D2","blue"
"ABCA1","blue"
"FSD1L","blue"
"LINC01505","brown"
"KLF4","blue"
"LPAR1","blue"
"SNX30","blue"
"SLC46A2","blue"
"SLC31A2","blue"
"FKBP15","blue"
"TLR4","blue"
"AL160272.1","blue"
"MEGF9","blue"
"PTGS1","blue"
"DENND1A","blue"
"AL390774.2","blue"
"NEK6","blue"
"NR6A1","blue"
"NIBAN2","blue"
"AL161785.1","blue"
"LINC01503","blue"
"FNBP1","turquoise"
"GBGT1","blue"
"SLC2A6","blue"
"VAV2","blue"
"RXRA","blue"
"FCN1","blue"
"C9orf139","blue"
"TOR4A","blue"
"AKR1C3","brown"
"ASB13","blue"
"TASOR2","turquoise"
"ECHDC3","blue"
"AL133415.1","blue"
"ST8SIA6","brown"
"PLXDC2","blue"
"AC069549.1","blue"
"OTUD1","blue"
"AL512603.2","blue"
"ARHGAP21","blue"
"MAP3K8","blue"
"ZNF438","blue"
"RASSF4","blue"
"ALOX5","blue"
"NCOA4","blue"
"ARHGAP22","blue"
"WDFY4","blue"
"AC060234.3","blue"
"IPMK","blue"
"UBE2D1","blue"
"PRF1","brown"
"VSIR","blue"
"PSAP","blue"
"ZNF503","blue"
"LRMDA","blue"
"DLG5","brown"
"ZMIZ1","blue"
"PPIF","blue"
"PAPSS2","blue"
"LIPN","blue"
"CPEB3","blue"
"HHEX","blue"
"MYOF","blue"
"TBC1D12","blue"
"ENTPD1","blue"
"BLNK","green"
"PIK3AP1","blue"
"RRP12","blue"
"UBTD1","blue"
"DNMBP","blue"
"TCF7L2","blue"
